lon,lat
120.765833,32.102917
120.730861,32.039528
120.506667,32.089556
120.245778,31.945389
120.055889,31.967056
120.181667,31.91375
120.453333,32.022917
120.739194,31.987111
120.794944,31.796222
121.085833,31.722056
121.499111,31.365556
121.682472,31.31625
121.912056,30.938333
121.879917,30.872056
121.512417,30.828722
121.027417,30.579528
120.913361,30.37375
120.795,30.33125
120.645806,30.40625
120.4,30.388694
120.365,30.271222
120.259167,30.293722
120.137944,30.195778
120.274972,30.282889
120.371667,30.249583
120.442472,30.357861
120.609111,30.360389
120.630444,30.134139
120.748333,30.082083
120.671222,30.133306
120.846639,30.12875
121.264056,30.327917
121.499111,30.207056
121.714139,29.948722
122.137889,29.8925
121.876639,29.762889
121.700833,29.562917
121.523306,29.511194
121.510806,29.562861
121.427111,29.474972
121.442472,29.41625
121.530361,29.471639
121.490833,29.380417
121.721639,29.54375
121.8,29.476222
121.842111,29.539111
121.741222,29.556667
121.793306,29.607111
121.924167,29.646222
121.997861,29.590806
121.903694,29.391611
121.974194,29.222889
121.799139,29.201278
121.8,29.376222
121.759167,29.191222
121.656194,29.178306
121.670806,29.32625
121.643306,29.18625
121.589167,29.290389
121.500417,29.272528
121.533306,29.183722
121.41875,29.163333
121.462472,29.099556
121.648306,29.108722
121.525417,29.003306
121.661639,29.05625
121.732056,28.941667
121.512056,28.941667
121.67625,28.858333
121.660778,28.717889
121.346028,28.705583
121.507056,28.660806
121.593722,28.369167
121.671194,28.349139
121.625444,28.265806
121.464139,28.336194
121.338306,28.142917
121.211222,28.3275
121.277889,28.3625
121.171611,28.394583
121.118306,28.28625
121.027889,28.292472
121.127917,28.245
120.958306,27.979556
120.620028,28.037056
120.582889,28.103333
120.604167,28.021194
120.851694,27.947917
120.858722,27.885
120.726667,27.727083
120.63525,27.748639
120.674583,27.637528
120.562083,27.580806
120.687889,27.475
120.644139,27.36375
120.54375,27.402528
120.519583,27.194972
120.451667,27.223722
120.415,27.162083
120.349833,27.245306
120.34875,27.176639
120.441222,27.153333
120.392083,27.089972
120.255,27.120417
120.266306,26.995806
120.159556,26.974167
120.230417,26.9175
120.038694,26.896639
120.035778,26.822056
120.135417,26.798306
120.120806,26.636222
119.834194,26.52125
120.077917,26.803333
119.934111,26.795417
119.868306,26.648722
119.78625,26.709139
119.849139,26.859528
119.744167,26.733722
119.649111,26.893111
119.727528,26.704611
119.542917,26.813306
119.609583,26.660806
119.544583,26.628306
119.600778,26.564556
119.669139,26.61875
119.783306,26.585444
119.83125,26.449972
119.766639,26.405389
119.646639,26.506222
119.58,26.423722
119.657444,26.44375
119.715,26.311222
119.815028,26.424556
119.861667,26.350361
119.95875,26.375833
119.593333,26.242083
119.673694,26.235
119.512083,26.075
119.719583,26.005861
119.684167,25.904556
119.567972,25.88
119.598694,25.693333
119.443722,25.701639
119.500861,25.562889
119.599556,25.59
119.553722,25.503306
119.639556,25.477472
119.654583,25.355833
119.592028,25.3425
119.588306,25.460389
119.485806,25.366222
119.463694,25.513306
119.365,25.52875
119.329167,25.614556
119.087917,25.422444
119.215361,25.361667
119.212472,25.267889
119.251667,25.332917
119.372889,25.269167
119.281639,25.171222
119.128333,25.265389
119.086222,25.189139
119.16125,25.130778
119.058306,25.117056
119.082917,25.264139
118.97625,25.231639
119.07,25.287028
118.869611,25.247472
118.981194,25.199167
118.967444,25.119556
118.851194,25.089139
118.951639,25.007056
119.017917,25.053306
119.02125,24.956639
118.897028,24.938278
118.985861,24.881222
118.698333,24.849528
118.742889,24.908306
118.644139,24.992889
118.672889,24.872472
118.562917,24.908278
118.633333,24.774583
118.778722,24.7725
118.648722,24.680833
118.650889,24.555417
118.566694,24.51125
118.589639,24.575
118.437861,24.629972
118.437444,24.725444
118.415806,24.604556
118.268306,24.60625
118.237528,24.539528
118.189167,24.684611
118.101667,24.566222
118.046639,24.61875
118.047528,24.556222
117.969583,24.555778
118.065417,24.509139
118.035806,24.445417
117.779917,24.50625
117.892528,24.342944
118.060833,24.407889
118.01125,24.324972
118.095806,24.357944
118.134556,24.264972
117.967444,24.153694
117.937556,24.219528
117.903722,24.035028
117.861583,24.072028
117.768306,23.91125
117.715444,23.938333
117.790444,24.031639
117.689083,24.053694
117.585028,23.715389
117.571278,23.904972
117.352472,23.948722
117.475833,23.906222
117.49125,23.8275
117.434139,23.755389
117.274556,23.779167
117.244111,23.604556
117.190833,23.683722
117.219583,23.619167
117.076639,23.542083
117.057472,23.649528
116.940806,23.610361
116.919972,23.659556
116.829556,23.559972
116.888722,23.559167
116.814556,23.551639
